 
       0.10000000    0.2000000E+01    0.2000000E+01    0.1999998E+01    0.1999771E+01    0.1999559E+01    0.1999414E+01    0.1999125E+01    0.1988270E+01    0.1983421E+01    0.1982496E+01    0.1979364E+01    0.1018324E+01    0.3934540E-01    0.6159418E-02    0.4754304E-02
       0.20500000    0.1999999E+01    0.1999999E+01    0.1999996E+01    0.1999657E+01    0.1999258E+01    0.1998823E+01    0.1998734E+01    0.1985061E+01    0.1978401E+01    0.1974878E+01    0.1968575E+01    0.1023650E+01    0.5579515E-01    0.1002423E-01    0.7148961E-02
       0.31525000    0.1999999E+01    0.1999999E+01    0.1999994E+01    0.1999562E+01    0.1999088E+01    0.1998218E+01    0.1998043E+01    0.1982821E+01    0.1974386E+01    0.1969117E+01    0.1959116E+01    0.1027740E+01    0.6971174E-01    0.1372470E-01    0.8479656E-02
       0.43101250    0.1999999E+01    0.1999998E+01    0.1999991E+01    0.1999484E+01    0.1998959E+01    0.1997573E+01    0.1997177E+01    0.1981360E+01    0.1971320E+01    0.1965017E+01    0.1951270E+01    0.1030818E+01    0.8090573E-01    0.1687507E-01    0.9251980E-02
       0.55256313    0.1999998E+01    0.1999998E+01    0.1999989E+01    0.1999418E+01    0.1998855E+01    0.1996803E+01    0.1996222E+01    0.1980480E+01    0.1969071E+01    0.1962193E+01    0.1944921E+01    0.1033106E+01    0.8966722E-01    0.1961338E-01    0.9664687E-02
       0.68019128    0.1999998E+01    0.1999998E+01    0.1999986E+01    0.1999360E+01    0.1998767E+01    0.1995915E+01    0.1995184E+01    0.1980019E+01    0.1967481E+01    0.1960325E+01    0.1939854E+01    0.1034801E+01    0.9640336E-01    0.2207203E-01    0.9836989E-02
       0.81420085    0.1999998E+01    0.1999997E+01    0.1999983E+01    0.1999308E+01    0.1998690E+01    0.1994930E+01    0.1994079E+01    0.1979852E+01    0.1966397E+01    0.1959173E+01    0.1935848E+01    0.1036067E+01    0.1015113E+00    0.2431845E-01    0.9847412E-02
       0.95491089    0.1999998E+01    0.1999997E+01    0.1999981E+01    0.1999261E+01    0.1998621E+01    0.1993882E+01    0.1992937E+01    0.1979886E+01    0.1965690E+01    0.1958559E+01    0.1932703E+01    0.1037031E+01    0.1053386E+00    0.2636642E-01    0.9750345E-02
       1.10265643    0.1999998E+01    0.1999997E+01    0.1999978E+01    0.1999217E+01    0.1998557E+01    0.1992817E+01    0.1991797E+01    0.1980047E+01    0.1965253E+01    0.1958343E+01    0.1930248E+01    0.1037789E+01    0.1081752E+00    0.2819816E-01    0.9585373E-02
       1.25778925    0.1999998E+01    0.1999997E+01    0.1999975E+01    0.1999178E+01    0.1998499E+01    0.1991783E+01    0.1990696E+01    0.1980280E+01    0.1965009E+01    0.1958412E+01    0.1928341E+01    0.1038407E+01    0.1102569E+00    0.2978630E-01    0.9382563E-02
       1.42067872    0.1999997E+01    0.1999997E+01    0.1999973E+01    0.1999142E+01    0.1998445E+01    0.1990826E+01    0.1989672E+01    0.1980544E+01    0.1964896E+01    0.1958671E+01    0.1926862E+01    0.1038927E+01    0.1117711E+00    0.3111129E-01    0.9165307E-02
       1.59171265    0.1999997E+01    0.1999996E+01    0.1999971E+01    0.1999109E+01    0.1998394E+01    0.1989982E+01    0.1988747E+01    0.1980813E+01    0.1964872E+01    0.1959037E+01    0.1925718E+01    0.1039376E+01    0.1128640E+00    0.3217144E-01    0.8951960E-02
       1.77129828    0.1999997E+01    0.1999996E+01    0.1999969E+01    0.1999079E+01    0.1998345E+01    0.1989269E+01    0.1987935E+01    0.1981070E+01    0.1964904E+01    0.1959447E+01    0.1924833E+01    0.1039767E+01    0.1136459E+00    0.3298476E-01    0.8757471E-02
       1.95986320    0.1999997E+01    0.1999996E+01    0.1999968E+01    0.1999051E+01    0.1998296E+01    0.1988695E+01    0.1987229E+01    0.1981304E+01    0.1964970E+01    0.1959852E+01    0.1924154E+01    0.1040107E+01    0.1141974E+00    0.3358495E-01    0.8596599E-02
       2.15785636    0.1999997E+01    0.1999996E+01    0.1999967E+01    0.1999026E+01    0.1998247E+01    0.1988264E+01    0.1986598E+01    0.1981512E+01    0.1965053E+01    0.1960221E+01    0.1923643E+01    0.1040395E+01    0.1145728E+00    0.3401554E-01    0.8492221E-02
       2.36574918    0.1999997E+01    0.1999996E+01    0.1999967E+01    0.1999000E+01    0.1998196E+01    0.1987989E+01    0.1985966E+01    0.1981680E+01    0.1965144E+01    0.1960537E+01    0.1923281E+01    0.1040620E+01    0.1147993E+00    0.3432724E-01    0.8498851E-02
       2.58403664    0.1999997E+01    0.1999996E+01    0.1999967E+01    0.1998971E+01    0.1998146E+01    0.1987898E+01    0.1985194E+01    0.1981744E+01    0.1965239E+01    0.1960800E+01    0.1923076E+01    0.1040749E+01    0.1148683E+00    0.3458514E-01    0.8769607E-02
       2.81323847    0.1999997E+01    0.1999995E+01    0.1999969E+01    0.1998929E+01    0.1998110E+01    0.1987964E+01    0.1984208E+01    0.1981368E+01    0.1965344E+01    0.1961026E+01    0.1923077E+01    0.1040692E+01    0.1147122E+00    0.3489458E-01    0.9714648E-02
       3.05390039    0.1999997E+01    0.1999995E+01    0.1999971E+01    0.1998855E+01    0.1998126E+01    0.1987929E+01    0.1983541E+01    0.1979479E+01    0.1965471E+01    0.1961253E+01    0.1923361E+01    0.1040288E+01    0.1142196E+00    0.3541503E-01    0.1210025E-01
