       0.000    0.9924480509E+00    0.9099746346E-06    0.1058090985E-17    0.8428882056E-12    0.4213750399E-16    0.1197076922E-06    0.5349190218E-14    0.2937189400E-16    0.5722928574E-04    0.1506420758E-05    0.4065984975E-05    0.7382116035E-08    0.2684385045E-14    0.1830435768E-04    0.1909456215E-13    0.8554390389E-16    0.7229865089E-05    0.7748479170E-06    0.2066472026E-17    0.5165535168E-04
       1.000    0.9924480357E+00    0.9101019531E-06    0.1070917266E-15    0.4938345693E-11    0.2199178989E-14    0.1197037882E-06    0.9160314210E-11    0.4318957549E-15    0.5724135451E-04    0.1506419325E-05    0.4065627974E-05    0.7378099670E-08    0.2196077348E-11    0.1830463221E-04    0.2309105525E-11    0.9669454273E-15    0.7229913386E-05    0.7748519237E-06    0.3853953988E-16    0.5165811970E-04
       2.000    0.9924480305E+00    0.9101214846E-06    0.1248161625E-15    0.4967410820E-11    0.1506683178E-14    0.1197118867E-06    0.9471526622E-11    0.2189066973E-15    0.5720788677E-04    0.1506459757E-05    0.4066587774E-05    0.7384658698E-08    0.2083935981E-11    0.1829537627E-04    0.2194639019E-11    0.1565220240E-15    0.7229807116E-05    0.7748435425E-06    0.2127957363E-16    0.5164661120E-04
       3.000    0.9924474636E+00    0.9100072141E-06    0.3217366469E-14    0.1893731049E-09    0.6623907277E-13    0.1197306262E-06    0.3997625390E-09    0.7935157321E-14    0.5719258145E-04    0.1506410247E-05    0.4067378693E-05    0.7411286738E-08    0.9791006721E-10    0.1834203661E-04    0.1013911504E-09    0.2085861548E-13    0.7229574797E-05    0.7748258526E-06    0.1970429765E-14    0.5166230731E-04
       4.000    0.9924434168E+00    0.9111186006E-06    0.4382894489E-13    0.2660670954E-08    0.9345489688E-12    0.1196204380E-06    0.5757097994E-08    0.1379813837E-12    0.5746862697E-04    0.1506371427E-05    0.4059290190E-05    0.7275616295E-08    0.1389456279E-08    0.1826694149E-04    0.1436404346E-08    0.3327948527E-12    0.7230976092E-05    0.7749351120E-06    0.2201223596E-13    0.5167928829E-04
       5.000    0.9924315481E+00    0.9087933775E-06    0.2794161449E-12    0.1059076079E-07    0.3618716773E-11    0.1198887969E-06    0.2285564353E-07    0.5669927180E-12    0.5686244936E-04    0.1506679319E-05    0.4081445728E-05    0.7586585946E-08    0.5527823477E-08    0.1855060899E-04    0.5693235941E-08    0.1208917157E-11    0.7227313777E-05    0.7746459211E-06    0.7297418871E-13    0.5162582498E-04
       6.000    0.9924122062E+00    0.9125581294E-06    0.1442141396E-12    0.1977748459E-07    0.6565052864E-11    0.1194742629E-06    0.4356152654E-07    0.9867777243E-12    0.5813437193E-04    0.1506045782E-05    0.4045544612E-05    0.7089773633E-08    0.1031727114E-07    0.1848601486E-04    0.1075080880E-07    0.2207030687E-11    0.7232791832E-05    0.7750773161E-06    0.1314531890E-12    0.5184112538E-04
       7.000    0.9923970578E+00    0.9084745661E-06    0.3771165001E-11    0.1803780005E-07    0.6087483131E-11    0.1199929782E-06    0.3856619309E-07    0.1204519018E-11    0.5664809746E-04    0.1507147500E-05    0.4090990043E-05    0.7583428262E-08    0.9430197674E-08    0.1855267902E-04    0.9593593187E-08    0.1816348235E-11    0.7226050131E-05    0.7745095238E-06    0.8450365289E-13    0.5156482860E-04
       8.000    0.9923772826E+00    0.9108487171E-06    0.1036485798E-10    0.2470987553E-08    0.7760724966E-12    0.1196978013E-06    0.6406804358E-08    0.6405519871E-13    0.5766729732E-04    0.1506205771E-05    0.4057233109E-05    0.7133902421E-08    0.1242385761E-08    0.1845285650E-04    0.1489167977E-08    0.2073997267E-12    0.7229989675E-05    0.7747859559E-06    0.1946398825E-13    0.5187094971E-04
       9.000    0.9923101963E+00    0.9116097659E-06    0.7343530216E-10    0.1005869941E-07    0.3891806537E-11    0.1197438826E-06    0.2313023048E-07    0.1854236513E-12    0.5749265196E-04    0.1507462310E-05    0.4066672006E-05    0.6885376931E-08    0.4893686774E-08    0.1808531639E-04    0.5685980091E-08    0.2205820075E-11    0.7229808515E-05    0.7746852121E-06    0.3445904963E-12    0.5170933413E-04
