        etc       1den       1mpi       doit       2mpi        dot        all    ft_zero      ft_ft      ft_tr     ft_mpi    ft_copy    ft_circ
         26          7        151       3568          3        141       3925         99        801        124       1769        471        145
         24         20        116       3711         12        159       4050        207        846        222       1525        550        181
         27         18        111       3691         11        158       4029        202        879        194       1499        549        174
         27         20        112       3692          8        159       4029        200        884        205       1494        541        184
         20         17        110       3705         29        141       4034        125        704        201       1924        423        154
