
 # Omega; pulse ft; flux 

  0.0000      0.355898E-14          Infinity          Infinity      0.460131E-09      0.105879E-20
  0.4208      0.158780E-05      0.539673E-02     -0.387832E-14      0.842440E-08     -0.605413E-20
  0.4270      0.174156E-05      0.532049E-02     -0.261985E-14      0.924560E-08     -0.455260E-20
  0.4333      0.190566E-05      0.528936E-02     -0.155410E-14      0.102055E-07     -0.299853E-20
  0.4396      0.208046E-05      0.523358E-02     -0.149008E-14      0.111839E-07     -0.318423E-20
  0.4459      0.226633E-05      0.531579E-02     -0.112773E-14      0.125512E-07     -0.266269E-20
  0.4522      0.246359E-05      0.480209E-02      0.542336E-15      0.124988E-07      0.141158E-20
  0.4584      0.267259E-05      0.426253E-02      0.776671E-15      0.122028E-07      0.222346E-20
  0.4647      0.289365E-05      0.611920E-02      0.542318E-16      0.192269E-07      0.170399E-21
  0.4710      0.312706E-05      0.681708E-02      0.783700E-15      0.234603E-07      0.269702E-20
  0.4773      0.337314E-05      0.708194E-02      0.112378E-14      0.266401E-07      0.422731E-20
  0.4836      0.363215E-05      0.746168E-02      0.135652E-14      0.306216E-07      0.556693E-20
  0.4898      0.390435E-05      0.845091E-02     -0.764857E-15      0.377645E-07     -0.341791E-20
  0.4961      0.419000E-05      0.908341E-02     -0.590952E-15      0.441191E-07     -0.287032E-20
  0.5024      0.448931E-05      0.111672E-01     -0.596455E-15      0.588507E-07     -0.314329E-20
  0.5087      0.480249E-05      0.122671E-01     -0.570964E-16      0.700211E-07     -0.325909E-21
  0.5150      0.512972E-05      0.176425E-01     -0.178777E-15      0.108894E-06     -0.110346E-20
  0.5212      0.547115E-05      0.197203E-01      0.344112E-15      0.131403E-06      0.229294E-20
  0.5275      0.582693E-05      0.525776E-01     -0.217351E-14      0.377621E-06     -0.156106E-19
  0.5338      0.619717E-05      0.544898E-01     -0.152049E-14      0.421176E-06     -0.117526E-19
  0.5401      0.658193E-05      0.167918E-01     -0.153845E-14      0.139471E-06     -0.127783E-19
  0.5464      0.698129E-05      0.324410E-01     -0.553165E-15      0.289125E-06     -0.493000E-20
  0.5526      0.739527E-05      0.633764E+00     -0.246144E-14      0.605203E-05     -0.235052E-19
  0.5589      0.782386E-05      0.260991E+01     -0.194814E-14      0.266670E-04     -0.199053E-19
  0.5652      0.826704E-05      0.350311E+01      0.721529E-14      0.382457E-04      0.787741E-19
  0.5715      0.872474E-05      0.334121E+01      0.152682E-13      0.389255E-04      0.177877E-18
  0.5778      0.919687E-05      0.515688E+01      0.368409E-13      0.640252E-04      0.457398E-18
  0.5840      0.968329E-05      0.545637E+01      0.511518E-13      0.721019E-04      0.675932E-18
  0.5903      0.101839E-04      0.404169E+01      0.481201E-13      0.567727E-04      0.675932E-18
  0.5966      0.106984E-04      0.411731E+01      0.592956E-13      0.614033E-04      0.884302E-18
  0.6029      0.112266E-04      0.442322E+01      0.748774E-13      0.699513E-04      0.118415E-17
  0.6092      0.117683E-04      0.439729E+01     -0.164246E-12      0.736560E-04     -0.275116E-17
  0.6154      0.123232E-04      0.402895E+01     -0.140050E-12      0.713967E-04     -0.248181E-17
  0.6217      0.128909E-04      0.376777E+01     -0.121583E-12      0.705569E-04     -0.227682E-17
  0.6280      0.134711E-04      0.373054E+01     -0.110984E-12      0.737414E-04     -0.219382E-17
  0.6343      0.140634E-04      0.372116E+01     -0.101112E-12      0.775578E-04     -0.210742E-17
  0.6406      0.146673E-04      0.369606E+01     -0.901334E-13      0.811383E-04     -0.197867E-17
  0.6468      0.152824E-04      0.353370E+01     -0.770111E-13      0.816199E-04     -0.177877E-17
  0.6531      0.159082E-04      0.340612E+01     -0.655245E-13      0.826898E-04     -0.159073E-17
  0.6594      0.165442E-04      0.326336E+01     -0.544969E-13      0.831835E-04     -0.138913E-17
  0.6657      0.171898E-04      0.320307E+01     -0.451759E-13      0.856405E-04     -0.120787E-17
  0.6720      0.178444E-04      0.312964E+01     -0.362190E-13      0.876829E-04     -0.101475E-17
  0.6782      0.185073E-04      0.307683E+01     -0.274360E-13      0.902415E-04     -0.804681E-18
  0.6845      0.191780E-04      0.298960E+01     -0.189987E-13      0.917020E-04     -0.582759E-18
  0.6908      0.198557E-04      0.290179E+01     -0.107832E-13      0.929995E-04     -0.345589E-18
  0.6971      0.205397E-04      0.280987E+01     -0.374721E-14      0.940028E-04     -0.125361E-18
  0.7034      0.212293E-04      0.272649E+01      0.349600E-14      0.951252E-04      0.121973E-18
  0.7096      0.219238E-04      0.265835E+01      0.100659E-13      0.966367E-04      0.365918E-18
  0.7159      0.226222E-04      0.259043E+01      0.168322E-13      0.980278E-04      0.636969E-18
  0.7222      0.233239E-04      0.253408E+01      0.228124E-13      0.997368E-04      0.897855E-18
  0.7285      0.240279E-04      0.246566E+01      0.285804E-13      0.100843E-03      0.116891E-17
  0.7348      0.247335E-04      0.240671E+01      0.331132E-13      0.102196E-03      0.140607E-17
  0.7410      0.254397E-04      0.233537E+01     -0.945326E-13      0.102869E-03     -0.416401E-17
  0.7473      0.261456E-04      0.227709E+01     -0.865319E-13      0.103959E-03     -0.395056E-17
  0.7536      0.268504E-04      0.221122E+01     -0.783270E-13      0.104544E-03     -0.370323E-17
  0.7599      0.275531E-04      0.215897E+01     -0.709198E-13      0.105618E-03     -0.346945E-17
  0.7662      0.282528E-04      0.210100E+01     -0.636393E-13      0.106264E-03     -0.321873E-17
  0.7724      0.289486E-04      0.205284E+01     -0.566765E-13      0.107257E-03     -0.296123E-17
  0.7787      0.296394E-04      0.199933E+01     -0.501344E-13      0.107823E-03     -0.270373E-17
  0.7850      0.303244E-04      0.195164E+01     -0.441022E-13      0.108552E-03     -0.245301E-17
  0.7913      0.310025E-04      0.190049E+01     -0.380073E-13      0.108936E-03     -0.217857E-17
  0.7976      0.316729E-04      0.185303E+01     -0.323177E-13      0.109373E-03     -0.190752E-17
  0.8038      0.323345E-04      0.180512E+01     -0.269460E-13      0.109627E-03     -0.163647E-17
  0.8101      0.329864E-04      0.175953E+01     -0.215422E-13      0.109864E-03     -0.134509E-17
  0.8164      0.336276E-04      0.171578E+01     -0.165849E-13      0.110062E-03     -0.106387E-17
  0.8227      0.342572E-04      0.167274E+01     -0.120397E-13      0.110151E-03     -0.792823E-18
