        etc       1den       1mpi       doit       2mpi        dot        all    ft_zero      ft_ft      ft_tr     ft_mpi    ft_copy    ft_circ
        542        342       2524      64559        335      32224     100650       3429      15449       3361      24647      11100       3486
        464        330       2485      59588        637      31696      95336       2937      15519       3301      21884       9069       3474
        465        326       2463      59634        590      31485      95103       2892      15683       3295      21669       9163       3502
        464        342       2433      59616        596      31784      95379       2921      15738       3247      21592       9194       3485
