        etc       1den       1mpi       doit       2mpi        dot        all    ft_zero      ft_ft      ft_tr     ft_mpi    ft_copy    ft_circ
        118         64        460      22641         58        994      24356        831       5065       1191      11446       2537        810
         95         76        459      22600         58        997      24301        763       5045       1195      11457       2532        810
         96         74        460      22615         60       1000      24320        751       5071       1207      11483       2534        807
         96         69        465      22694         54        989      24384        753       5054       1227      11548       2517        813
         93         72        459      22559         55        981      24241        784       5057       1195      11380       2528        822
