      13.000    0.9912210609E+00    0.8726226698E-06    0.1501253892E-10    0.4431755602E-06    0.1536701463E-09    0.1207795958E-06    0.9732831174E-06    0.2320211778E-10    0.5486059345E-04    0.1463957146E-05    0.4243790692E-05    0.2089090213E-08    0.2321131219E-06    0.1707728050E-04    0.2399799537E-06    0.4146123440E-10    0.7225914172E-05    0.7698827831E-06    0.2422123847E-11    0.5366991743E-04
      14.000    0.9909344860E+00    0.8500090981E-06    0.7552586178E-11    0.8083316842E-07    0.2741656523E-10    0.1211216281E-06    0.1834309136E-06    0.3075273319E-11    0.5367022913E-04    0.1442341310E-05    0.4337337557E-05    0.1040055347E-08    0.4265279193E-07    0.1644240034E-04    0.4454372498E-07    0.5185881646E-11    0.7230153271E-05    0.7673735921E-06    0.7096457701E-12    0.5478851720E-04
      15.000    0.9902872392E+00    0.8177955358E-06    0.1932990149E-12    0.9080605214E-07    0.3725846446E-10    0.1213821211E-06    0.1881112863E-06    0.8151459806E-11    0.5198608381E-04    0.1411240000E-05    0.4457194410E-05    0.9302252396E-09    0.4697195898E-07    0.1556191637E-04    0.4827529776E-07    0.1627794886E-10    0.7236152551E-05    0.7644334291E-06    0.1614840482E-11    0.5643005399E-04
      16.000    0.9890436035E+00    0.7748014312E-06    0.8233712248E-11    0.8988857760E-06    0.3352271883E-09    0.1212691233E-06    0.1919957728E-05    0.5990065086E-10    0.4970977691E-04    0.1371425442E-05    0.4603594909E-05    0.2667595481E-08    0.4682970354E-06    0.1440777317E-04    0.4812960595E-06    0.1057205507E-09    0.7243714347E-05    0.7613602323E-06    0.6350201220E-11    0.5871598423E-04
      17.000    0.9873899503E+00    0.7215972677E-06    0.3736817562E-10    0.2129523381E-05    0.7878705277E-09    0.1205866074E-06    0.4580318409E-05    0.1280269326E-09    0.4683495609E-04    0.1328190921E-05    0.4787941867E-05    0.7188975797E-08    0.1111676882E-05    0.1299220218E-04    0.1143259587E-05    0.2192716102E-09    0.7256007584E-05    0.7583880473E-06    0.1172627155E-10    0.6169575866E-04
      18.000    0.9858598901E+00    0.6605693705E-06    0.6892954698E-10    0.2696451439E-05    0.9935492774E-09    0.1194724778E-06    0.5825327455E-05    0.1478577293E-09    0.4340582762E-04    0.1287930840E-05    0.5037020837E-05    0.1523486687E-07    0.1410427895E-05    0.1135003042E-04    0.1450519754E-05    0.2515274295E-09    0.7279378227E-05    0.7555416045E-06    0.1286357135E-10    0.6539369883E-04
      19.000    0.9847578920E+00    0.5955194397E-06    0.7192350871E-10    0.1886394085E-05    0.6980156005E-09    0.1184786846E-06    0.4100653444E-05    0.8964500397E-10    0.3942064519E-04    0.1253278092E-05    0.5382299331E-05    0.2713305568E-07    0.9899530644E-06    0.9512532559E-05    0.1017681139E-05    0.1547377846E-09    0.7319117752E-05    0.7526639709E-06    0.8719496285E-11    0.6993159571E-04
      20.000    0.9836365757E+00    0.5315379292E-06    0.3786491963E-10    0.4245962970E-06    0.1608801711E-09    0.1182819439E-06    0.9462067990E-06    0.1288435564E-10    0.3480243658E-04    0.1221725820E-05    0.5839862836E-05    0.4216403177E-07    0.2255531322E-06    0.7517855635E-05    0.2319121353E-06    0.2763723866E-10    0.7374769028E-05    0.7494872973E-06    0.4548984878E-11    0.7561370959E-04
      21.000    0.9815291629E+00    0.4761779936E-06    0.2999309044E-11    0.1460519785E-06    0.7184555049E-10    0.1190754349E-06    0.2903176194E-06    0.2018146426E-10    0.2950910960E-04    0.1189702248E-05    0.6398687894E-05    0.5768302204E-07    0.7381767076E-07    0.5462559999E-05    0.7705980928E-07    0.3200024560E-10    0.7441188665E-05    0.7458904328E-06    0.7071754995E-11    0.8286190627E-04
      22.000    0.9779217522E+00    0.4403221538E-06    0.1844648524E-10    0.2149986538E-05    0.8590767521E-09    0.1200202774E-06    0.4483929025E-05    0.1429737007E-09    0.2370650886E-04    0.1159380603E-05    0.7034890893E-05    0.6938998353E-07    0.1113468180E-05    0.3543968351E-05    0.1143747379E-05    0.2152267191E-09    0.7516182488E-05    0.7421891730E-06    0.1607904288E-10    0.9201653223E-04
      23.000    0.9734932363E+00    0.4372404521E-06    0.9416968110E-10    0.5229222240E-05    0.2081321718E-08    0.1195974953E-06    0.1095878693E-04    0.2799078989E-09    0.1782226567E-04    0.1141690319E-05    0.7746112329E-05    0.7408294679E-07    0.2721865069E-05    0.2044690403E-05    0.2787950622E-05    0.4369366007E-09    0.7606373422E-05    0.7390669621E-06    0.2437395349E-10    0.1031696714E-03
      24.000    0.9696410994E+00    0.4814547874E-06    0.1709413423E-09    0.6609152544E-05    0.2653469391E-08    0.1168670077E-06    0.1385830545E-04    0.2892208440E-09    0.1240713516E-04    0.1152535734E-05    0.8569465532E-05    0.7239598172E-07    0.3453301780E-05    0.1278511394E-05    0.3527992208E-05    0.4886162907E-09    0.7723426331E-05    0.7374252897E-06    0.2602952107E-10    0.1162202835E-03
      25.000    0.9670471607E+00    0.5865347510E-06    0.1674609839E-09    0.4720634412E-05    0.1925548623E-08    0.1122614460E-06    0.9914796178E-05    0.1568926313E-09    0.7976994582E-05    0.1204041788E-05    0.9552318376E-05    0.6801100748E-07    0.2480058323E-05    0.1563661606E-05    0.2524985686E-05    0.3118820545E-09    0.7872335353E-05    0.7377930637E-06    0.2228916767E-10    0.1310885054E-03
      26.000    0.9647531403E+00    0.7605574246E-06    0.7932068884E-10    0.1274019966E-05    0.5355931866E-09    0.1068722242E-06    0.2718065283E-05    0.2017162700E-10    0.5039284132E-05    0.1300839803E-05    0.1068548698E-04    0.6774550242E-07    0.6798406203E-06    0.3208802534E-05    0.6873701533E-06    0.7393467924E-10    0.8039974278E-05    0.7399844100E-06    0.1890410125E-10    0.1477029600E-03
      27.000    0.9606533113E+00    0.1134867638E-05    0.9224415463E-11    0.1091066225E-06    0.1154770554E-09    0.1026753018E-06    0.1989602723E-06    0.2067374050E-10    0.8930129632E-05    0.1748942384E-05    0.1159260024E-04    0.3379314630E-06    0.5197560519E-07    0.1080916630E-04    0.5712879565E-07    0.5777990761E-10    0.8348040519E-05    0.7449486918E-06    0.3921302902E-11    0.1680068703E-03
      28.000    0.9543984984E+00    0.1638075086E-05    0.2748463318E-10    0.3341761402E-05    0.1485200268E-08    0.9945129447E-07    0.6613781553E-05    0.1270925626E-09    0.8120578775E-05    0.1693895248E-05    0.1298524562E-04    0.2429207042E-06    0.1690199625E-05    0.1347491042E-04    0.1749752337E-05    0.1162275489E-09    0.8553008483E-05    0.7634056547E-06    0.8451637029E-10    0.1934146682E-03
      29.000    0.9474643317E+00    0.1735492279E-05    0.1862330643E-09    0.8678654654E-05    0.4965648061E-08    0.8609459529E-07    0.1730561566E-04    0.6172254756E-09    0.7862904460E-05    0.1730246134E-05    0.1408472848E-04    0.1346697843E-06    0.4522955368E-05    0.1708985043E-04    0.4547241128E-05    0.7898215748E-09    0.8528587295E-05    0.7839342460E-06    0.2845175625E-10    0.2055775381E-03
      30.000    0.9412210015E+00    0.2154605717E-05    0.2946162758E-09    0.1121208124E-04    0.5611953927E-08    0.7287424972E-07    0.2227906050E-04    0.3309933456E-09    0.1766662953E-04    0.2081418094E-05    0.1518128950E-04    0.2692274659E-06    0.5890885649E-05    0.2747919945E-04    0.5927096437E-05    0.7947445769E-09    0.8743047630E-05    0.7922911978E-06    0.4430784789E-10    0.2338222424E-03
      31.000    0.9377005016E+00    0.2692602184E-05    0.2619335726E-09    0.8295442083E-05    0.4133339403E-08    0.6224065880E-07    0.1645290324E-04    0.1498826738E-09    0.2888261790E-04    0.2503526021E-05    0.1629137218E-04    0.4934131001E-06    0.4391839601E-05    0.3796415603E-04    0.4398665769E-05    0.6226742305E-09    0.8972471480E-05    0.8169918062E-06    0.6172159132E-10    0.2577168064E-03
      32.000    0.9353576974E+00    0.3311514169E-05    0.1118713413E-09    0.2608016135E-05    0.1285040575E-08    0.5406611479E-07    0.5216845564E-05    0.1404874036E-10    0.4234994496E-04    0.3122686054E-05    0.1739651257E-04    0.8783165233E-06    0.1400325653E-05    0.4910370700E-04    0.1393075811E-05    0.2208596258E-09    0.9194864110E-05    0.8387291354E-06    0.8038926659E-10    0.2795835733E-03
      33.000    0.9316171884E+00    0.4018554927E-05    0.5394062210E-11    0.2107291716E-07    0.7332289091E-10    0.4840642146E-07    0.3419774246E-07    0.3175604682E-10    0.5670510677E-04    0.3955698652E-05    0.1823786535E-04    0.1457827487E-05    0.9585958059E-08    0.5949917496E-04    0.1206867746E-07    0.8293950999E-11    0.9367171647E-05    0.8510045589E-06    0.6538959430E-10    0.2975219329E-03
      34.000    0.9238575657E+00    0.6092550564E-05    0.1532972328E-10    0.3733381419E-05    0.2027898582E-08    0.4887413531E-07    0.6963724320E-05    0.1060058700E-09    0.1179292900E-03    0.6356489471E-05    0.1777750664E-04    0.5864638058E-05    0.1904943716E-05    0.1024277371E-03    0.1947091516E-05    0.3651521084E-09    0.1047326800E-04    0.8207536253E-06    0.3122799803E-10    0.3300708324E-03
      35.000    0.9184918585E+00    0.6064258738E-05    0.2094495265E-09    0.1069433281E-04    0.7020741695E-08    0.3778003816E-07    0.2037005921E-04    0.3547704606E-09    0.8096294238E-04    0.5870380872E-05    0.1827941995E-04    0.2953370363E-05    0.5648838698E-05    0.7225819566E-04    0.5641651559E-05    0.1089442828E-08    0.9648871763E-05    0.8549036637E-06    0.1414076243E-10    0.3175924822E-03
      36.000    0.9139094822E+00    0.7657000912E-05    0.3324993967E-09    0.1428002246E-04    0.1059473683E-07    0.4227744423E-07    0.2731819326E-04    0.4711956400E-09    0.8751040749E-04    0.7135692815E-05    0.1746339495E-04    0.4667189911E-05    0.7600290286E-05    0.7390087887E-04    0.7527770033E-05    0.2175763019E-08    0.9689548871E-05    0.9141994967E-06    0.8470671262E-10    0.3177214649E-03
      37.000    0.9125822025E+00    0.9169530849E-05    0.3075280708E-09    0.1099938339E-04    0.6947958649E-08    0.3558560605E-07    0.2109883802E-04    0.2688217051E-09    0.9701008362E-04    0.8331179746E-05    0.1642569657E-04    0.5853907538E-05    0.5886102851E-05    0.7731754594E-04    0.5858589552E-05    0.1780666561E-08    0.9781136538E-05    0.9299984017E-06    0.1625074178E-09    0.3247228826E-03
