        etc       1den       1mpi       F.T.       2mpi        dot        ALL    ft_copy   ft_conjg    ft_ft1d      ft_tr     ft_mpi    ft_copy    ft_circ
          7          3         41       2742          3        260       2888         18         35        160        301       2040        159         28
         28          0         36       2721         18        409       3034         19         30        155        293       2037        156         28
         13          0         32       2750          7        407       3047         20         33        163        307       2031        164         31
         20          2         40       2723         14        245       2868         16         27        154        299       2044        153         29
         14          2         28       2845          8        407       3141         21         33        171        312       2111        167         30
         19          4         43       2723         14        341       2963         21         25        152        294       2036        166         29
         13          3         28       2760          5        406       3052         19         31        165        310       2038        159         32
         10          4         44       2743          3        248       2881         15         31        164        311       2027        166         29
          9          3         42       2744          4        405       3039         21         33        162        304       2033        163         28
         22          3         38       2757         13        413       3066         19         29        159        317       2035        167         28
         13          0         42       2745          6        412       3041         19         35        159        296       2035        170         29
         16          4         33       2765         10        247       2903         18         31        168        318       2035        164         31
         14          1         38       2749          8        408       3046         19         30        161        306       2037        164         30
         13          3         40       2733          8        408       3033         19         28        166        321       2006        160         30
         18          5         35       2726         11        406       3030         17         24        164        299       2031        159         30
         10          4         29       2750          5        405       3036         20         27        161        300       2050        163         27
         18          2         39       2722         13        408       3023         21         31        168        295       2023        155         29
         10          3         37       2729          5        338       2961         18         33        163        299       2023        163         29
         15          1         38       2733         10        328       2956         18         33        160        287       2043        161         30
         17          3         39       2743         12        336       2978         19         29        167        321       2001        175         30
         18          1         44       2715         12        406       3023         19         29        159        297       2015        164         31
         18          0         45       2737         11        408       3039         21         30        161        312       2019        162         30
         21          3         44       2714         16        346       2964         20         31        162        308       1998        165         30
         17          1         39       2738         11        336       2968         18         30        172        314       2004        171         29
         13          3         39       2734          8        411       3033         16         31        165        308       2023        161         29
         11          2         45       2747          4        246       2886         18         32        166        310       2025        165         30
         18          1         33       2738         10        410       3037         18         30        168        305       2034        153         29
         12          3         39       2739          6        409       3035         16         29        166        295       2030        168         31
         18          0         33       2736         13        407       3039         18         29        159        294       2043        163         29
         20          2         31       2736         13        411       3038         19         33        174        317       2003        161         28
         16          5         33       2732         11        396       3020         18         29        165        302       2029        159         27
         16          1         29       2761         10        241       2897         17         29        180        327       2013        165         29
         12          1         41       2749          7        411       3047         18         31        163        318       2029        157         31
         17          3         39       2750         13        247       2891         18         28        164        319       2026        165         28
         11          3         36       2738          7        406       3034         16         35        168        316       1999        171         32
         15          3         42       2723          8        335       2952         19         28        172        297       2006        169         31
         13          3         37       2759          6        259       2906         20         30        158        306       2050        166         29
         15          2         40       2717          6        407       3016         19         28        172        318       1976        173         30
         12          2         42       2753          6        244       2888         17         28        163        295       2055        166         29
         17          1         35       2737          9        347       2973         19         33        163        308       2026        156         31
         18          0         39       2744         12        337       2980         17         30        167        314       2024        160         30
         14          2         37       2736         10        342       2971         18         31        179        311       2003        162         31
         11          3         37       2746          5        342       2977         17         29        160        298       2048        165         28
         40          3         38       2714         33        335       2968         19         29        159        301       2031        146         29
         18          2         45       2751         12        409       3056         19         32        168        307       2038        156         28
         12          4         38       2733          8        410       3033         18         32        169        309       2005        170         29
         21          5         35       2726         16        249       2870         21         33        161        296       2026        157         29
         17          3         45       2715         12        342       2954         20         26        161        299       2011        165         27
         11          1         37       2756          4        404       3054         19         28        157        317       2028        176         29
         15          3         35       2754          9        410       3054         18         32        168        312       2026        169         28
