                         Spfs           Prop            Act          Final             MPI        Non MPI
        0.000                0              2              0              0              0              0
        0.000                0              2              0              0              0              0
        0.000                0              2              0              0              0              0
        0.500                0              4              0              0              0              0
        0.500                0              4              0              0              0              0
        0.500                0              4              0              0              0              0
