           Time      matel     denmat    reduced    spfprop      aprop    advance  constrain    driving    #DERIVS
 T=       0.500          0          0          0          1          0          0          0          0         64
 T=       1.000          1          0          0          2          0          0          0          0         64
 T=       1.000          1          0          0          2          0          0          0          0         64
 T=       1.000          1          0          0          2          0          0          0          0         64
